"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:1904062","regulation of monoatomic cation transmembrane transport","34/1126","227/13425",0.149779735682819,1.78578414879383,3.61274573165318,0.000645341706891435,0.0175085605136739,0.0151840566681274,"THY1/MS4A1/CD19/KCNN4/ANK2/KCNS2/WNK2/P2RX5/LRRC26/RGS4/OSR1/SLN/CBARP/IL13/BPIFA1/LCN2/CACNG6/KCNRG/BDKRB1/GRIN1/MMP9/CALCA/CAV1/DPP6/CAV3/KCNS1/PCSK9/PRKCE/FXYD4/KCNIP1/TRPC3/KCNS3/PLA2G1B/F2RL3",34
"GO:0070588","calcium ion transmembrane transport","38/1126","263/13425",0.144486692015209,1.72267658996819,3.5812627367485,0.000653227070574496,0.0176223687118261,0.0152827552520967,"ASIC1/THY1/PLCH2/CACNA1G/MS4A1/CD19/HTR2A/KCNN4/TRPV4/CCR7/ANK2/BHLHA15/DRD2/P2RX5/TRPV3/TRPV6/CNGA1/GRIN3B/CNGA4/SLN/CBARP/IL13/CACNG6/CNGA3/BDKRB1/GRIN1/FAIM2/CALCA/EDNRB/CAV1/GPM6A/CACNA2D3/GP9/CACNA2D2/PRKCE/TRPC3/PLA2G1B/F2RL3",38
"GO:0032963","collagen metabolic process","17/1126","86/13425",0.197674418604651,2.3568197777686,3.81931097710117,0.000687892592667336,0.0183502074300923,0.0159139633022834,"PRSS2/COL1A1/MMP11/MMP7/COL1A2/FAP/COL5A1/MMP2/ADAMTS14/WNT4/MMP12/SERPINB7/MMP9/MMP3/P3H2/ID1/RGCC",17
"GO:0048640","negative regulation of developmental growth","17/1126","86/13425",0.197674418604651,2.3568197777686,3.81931097710117,0.000687892592667336,0.0183502074300923,0.0159139633022834,"GDF15/KCNK2/RGMA/SPP1/RGS4/TP73/ADRB2/WWC2/MAP2/ADRB1/CAV3/SEMA6D/SLC6A4/SEMA5A/SEMA3G/STC2/MAG",17
"GO:0061333","renal tubule morphogenesis","14/1126","64/13425",0.21875,2.60809835701599,3.90174048056722,0.00070120070276673,0.0186012964206174,0.0161317167525399,"KIF26B/ADAMTS16/GREM1/TMEM59L/SIX1/WNT4/OSR1/WT1/SMO/EYA1/SIX4/SHH/LGR5/GATA3",14
"GO:0045104","intermediate filament cytoskeleton organization","13/1126","57/13425",0.228070175438596,2.71922034215201,3.93560058823225,0.000708961560054707,0.0187032676754764,0.0162201499113418,"KRT5/KRT15/KRT14/KRT17/BFSP2/DES/KRT13/KRT23/DSP/KRT40/KRT6A/PKP2/SHH",13
"GO:0019732","antifungal humoral response","5/1126","10/13425",0.5,5.9613676731794,4.74877223805572,0.000724422589614942,0.0189022834175483,0.0163927435579245,"LTF/CALCA/DEFA4/CAMP/VIP",5
"GO:0072498","embryonic skeletal joint development","5/1126","10/13425",0.5,5.9613676731794,4.74877223805572,0.000724422589614942,0.0189022834175483,0.0163927435579245,"OSR2/SHOX2/OSR1/BMP7/HYAL1",5
"GO:0030574","collagen catabolic process","9/1126","31/13425",0.290322580645161,3.46143929410417,4.15135712080719,0.000735944336966842,0.019023405332892,0.0164977848618566,"PRSS2/MMP11/MMP7/FAP/MMP2/ADAMTS14/MMP12/MMP9/MMP3",9
"GO:0030278","regulation of ossification","19/1126","102/13425",0.186274509803922,2.22090168216487,3.74502766544305,0.000741093834123639,0.019023405332892,0.0164977848618566,"COMP/TFAP2A/GREM1/OSR2/MDK/NELL1/WNT4/LTF/OSR1/BMPR1B/TWIST1/RFLNA/BMP7/DKK1/SFRP1/TACR1/ADRB2/KL/SMAD6",19
