"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","category"
"TBC1D17",1254.64058872816,-0.274911128583983,0.0606415433459191,3.41668189982844e-06,1.45174305351303e-05,"Not Significant"
"PIK3C2A",718.183222973399,0.323645282259754,0.0720395649292279,3.43808703629586e-06,1.46044281574256e-05,"Not Significant"
"SMNDC1",762.79296251945,0.227143710621287,0.0497453862738819,3.45340445333765e-06,1.46655260799029e-05,"Not Significant"
"OSBPL3",385.843163971367,0.412345708216095,0.0934008303768653,3.46311736881468e-06,1.47027968335291e-05,"Not Significant"
"TPRG1",574.590723861546,-0.361691492193782,0.0811261371864805,3.47080982762537e-06,1.47314718285262e-05,"Not Significant"
"GPHN",536.444703098715,-0.224013668790157,0.0490544714101445,3.47998389737914e-06,1.47660256967237e-05,"Not Significant"
"LEPROT",490.847242702656,0.376848994273025,0.0847857542807783,3.48083191742512e-06,1.47660256967237e-05,"Not Significant"
"PNPLA7",209.03831981749,-0.568754756764496,0.133687832746798,3.48271765376507e-06,1.47700343501112e-05,"Not Significant"
"ERO1A",139.243471725975,0.521615075023466,0.121064343466019,3.48411120145379e-06,1.47719540542329e-05,"Not Significant"
"PPM1F",146.516994115517,0.412673226618164,0.0935126759667267,3.48690863528917e-06,1.47798233191253e-05,"Not Significant"
"ZNF207",3646.94936588588,0.193383963768187,0.0421766689482373,3.49346018644377e-06,1.48035964715701e-05,"Not Significant"
"PADI2",14.2386353466574,0.733997969736656,0.18467358582321,3.50481798650438e-06,1.4847717859719e-05,"Not Significant"
"FGF7",1410.95717315157,0.748425476688279,0.189879661025895,3.50712548108101e-06,1.48534853123744e-05,"Not Significant"
"RARG",634.093823636406,-0.35136279750403,0.0786960154619708,3.50980475663028e-06,1.48608238077388e-05,"Not Significant"
"ADCY9",91.6780651513293,0.429183756075572,0.0976382925635896,3.52910581936297e-06,1.49385174882714e-05,"Not Significant"
"RTN1",442.460537813339,-0.442249723144881,0.100927013757345,3.55997537629197e-06,1.50651249077585e-05,"Not Significant"
"CAAP1",242.394752373744,0.523698970951297,0.121765867604635,3.5697248989869e-06,1.5102312291591e-05,"Not Significant"
"SRPK3",129.906697873818,0.453599906233341,0.103792509642589,3.57850720599863e-06,1.51353887753713e-05,"Not Significant"
"ABCB10",41.6126218865778,0.612113846477358,0.146098948627795,3.58387148564867e-06,1.51539947009653e-05,"Not Significant"
"ZP3",249.024636207193,-0.649792573152076,0.157298471657296,3.59148561388427e-06,1.51816879384874e-05,"Not Significant"
"APOC2",172.088535132139,-0.698758252507902,0.172864081971465,3.59235482111341e-06,1.51816879384874e-05,"Not Significant"
"PSEN1",1043.12130725491,-0.20987629743683,0.0459347842944582,3.5955790155055e-06,1.51912245811185e-05,"Not Significant"
"TMEM181",657.474537188034,0.145293835687545,0.0315631052022657,3.60003170155784e-06,1.52059450402093e-05,"Not Significant"
"CD47",4161.43996837642,-0.328090957068862,0.0732638510037404,3.61434828749117e-06,1.52623098745593e-05,"Not Significant"
"CASP10",632.486190098129,0.229454719726423,0.0503808088941975,3.62410487578275e-06,1.52993940709301e-05,"Not Significant"
"HIF1AN",125.661193765705,0.589953710752621,0.139882184344034,3.63016251755428e-06,1.53208471843017e-05,"Not Significant"
"BDH2",651.124361851048,0.415813264897252,0.0945132729105686,3.66269228256502e-06,1.54539824875762e-05,"Not Significant"
"SRSF5",15039.9035744942,0.236574985725227,0.0520302553079242,3.66878895228774e-06,1.54755471657489e-05,"Not Significant"
"FRRS1",199.324115509941,0.474602834249802,0.109247494853975,3.6778916945101e-06,1.55097769550923e-05,"Not Significant"
"TMEM191C",68.1799752401555,-0.386373658669888,0.0873636764726636,3.71142477126617e-06,1.5646984132352e-05,"Not Significant"
"PALM2-AKAP2",119.199795559889,0.660927121884419,0.161061858974413,3.7211584996505e-06,1.56838089783927e-05,"Not Significant"
"HIST1H4I",244.42920888845,-0.258474927579288,0.0571082187869619,3.75396847895035e-06,1.58178489317017e-05,"Not Significant"
"PECAM1",1185.90221376651,0.691001788552423,0.170864491143215,3.7889963281614e-06,1.59611597403096e-05,"Not Significant"
