"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","category"
"HCCS",308.729333708344,0.161566764480084,0.0435638819670097,0.000190199039327468,0.000366395695391565,"Not Significant"
"SFT2D2",18.3368373472168,-0.62173784221758,0.185929709741813,0.000190357750885213,0.000366656445699651,"Not Significant"
"TAF1C",1804.89124159125,-0.264834910001813,0.0722081946601995,0.000190491058651734,0.000366868206677162,"Not Significant"
"PLBD1",180.515723906836,-0.681991939730265,0.208464209680764,0.000191545984590674,0.000368854649585868,"Not Significant"
"AZIN1",819.628875960174,-0.43175102453936,0.121759139860286,0.000191708013495268,0.00036912138973212,"Not Significant"
"SPC25",19.1412771217743,-0.682399067035077,0.208672233486031,0.000192105268559222,0.000369840921689735,"Not Significant"
"AMDHD1",106.505240971547,-0.267103105272123,0.072916487672294,0.000192995230674207,0.000371508720155106,"Not Significant"
"ATF7",372.465062220849,-0.210811232681042,0.0571551787016233,0.000193108191210896,0.000371680593601945,"Not Significant"
"LDLR",3249.97470547985,-0.449460866752649,0.127429161605209,0.000193252330713097,0.000371912428560384,"Not Significant"
"TPH1",18.3566615589236,-0.446228762686678,0.12641312430857,0.000193477765367601,0.000372300639327287,"Not Significant"
"NUP62CL",107.766402823087,0.551144199168477,0.161264596425432,0.000195349323866952,0.000375855929498915,"Not Significant"
"MYOCD",215.520772344432,0.51298813630353,0.148317890985538,0.000195908572296567,0.000376885747464294,"Not Significant"
"DAB2",1111.93143897302,0.346473567404208,0.0959993071864673,0.000196821613318457,0.000378595850171499,"Not Significant"
"SLC25A1",1110.5725609849,0.220817838839267,0.0600218784183857,0.000197277077800709,0.000379425471208027,"Not Significant"
"FMN1",164.491399432134,-0.389917259920289,0.109092539891544,0.00019786880769042,0.000380516937866192,"Not Significant"
"SCFD2",22.0463032094788,-0.695562242780268,0.214449298505055,0.000199760013154896,0.000384106822600351,"Not Significant"
"ESPNL",28.6176486399122,0.598919695290389,0.178429902227039,0.000200038916588498,0.000384596006666595,"Not Significant"
"AC004922.1",122.406624058186,0.259006165271307,0.0708073766348424,0.000200150211760017,0.000384762865756369,"Not Significant"
"SMURF1",712.621157613225,-0.199731830968708,0.0542262622433432,0.000200241856481632,0.00038489191316866,"Not Significant"
"TMEM256-PLSCR3",30.1995079612519,-0.488892966111946,0.14061788315106,0.000201321738098813,0.000386920221343048,"Not Significant"
"CTNND2",21.9283320369193,-0.585240637982582,0.173637907622905,0.000201434546051456,0.000387089641739028,"Not Significant"
"MEIKIN",41.1943429109543,0.573180709220605,0.169379749090303,0.000201642202046375,0.000387441264487589,"Not Significant"
"ACADSB",513.179117302538,-0.261561274166593,0.071575196589435,0.000201914105466916,0.000387916232969968,"Not Significant"
